,name,address,brand,is_self,gas,diesel,washcar,lpg,fixcar,convenience,hour24,gu,lat,lng
127,대원셀프주유소,서울 구로구 개봉로 7,현대오일뱅크,Y,"1,597","1,567",Y,N,N,N,N,구로구,37.4860529,126.8560668
128,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),SK에너지,N,"1,599","1,564",Y,N,N,N,N,구로구,37.4863179,126.8570058
129,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),GS칼텍스,N,"1,619","1,515",N,N,N,N,Y,구로구,37.5078523,126.887069
130,JHC에너지,서울 구로구 시흥대로 539,현대오일뱅크,N,"1,625","1,580",N,N,Y,N,N,구로구,37.4813879,126.8997699
131,개봉주유소,서울 구로구 고척로 115 (개봉동),현대오일뱅크,Y,"1,627","1,597",Y,N,N,N,N,구로구,37.5019132,126.846819
132,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),현대오일뱅크,N,"1,627","1,599",Y,N,N,N,N,구로구,37.4974745,126.8924749
133, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,현대오일뱅크,Y,"1,627","1,594",Y,N,Y,N,Y,구로구,37.4808979,126.8993011
134,근린공원주유소,서울 구로구 고척로 199 (고척동),S-OIL,N,"1,657","1,657",Y,N,N,N,N,구로구,37.5050911,126.8554371
135,영진주유소,서울 구로구 구로동로 20 (가리봉동),S-OIL,N,"1,867","1,797",N,N,N,N,N,구로구,37.4836403,126.8869533
136,동아주유소,서울 구로구 도림로 91 (구로동),S-OIL,N,"1,898","1,698",N,N,N,Y,N,구로구,37.4907961,126.8931581
137,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,N,"2,198","2,198",N,N,N,N,N,구로구,37.490737,126.883519
138,구광주유소,서울 금천구 서부샛길 674 (가산동),S-OIL,N,"1,575","1,515",Y,N,N,N,N,금천구,37.4819679,126.8751491
139,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,SK에너지,Y,"1,596","1,534",Y,N,N,N,N,금천구,37.4767708,126.8991661
140,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),알뜰주유소,Y,"1,598","1,525",N,N,N,N,N,금천구,37.45885150000001,126.8993418
141,현대오일뱅크(주)직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),현대오일뱅크,Y,"1,635","1,595",Y,N,N,N,N,금천구,37.4604604,126.904433
142,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),현대오일뱅크,N,"1,639","1,599",Y,N,N,N,N,금천구,37.4801783,126.9074941
143,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,GS칼텍스,Y,"1,645","1,535",Y,N,N,N,N,금천구,37.44449040000001,126.9042647
144,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),SK에너지,Y,"1,645","1,597",N,N,N,N,N,금천구,37.4371734,126.9024572
145,백산주유소,서울특별시 금천구 시흥대로 174 (시흥동),S-OIL,Y,"1,645","1,575",Y,N,Y,N,N,금천구,37.4496089,126.9029548
146,남서울경복에너지,서울 금천구 독산로 257 (독산동),현대오일뱅크,Y,"1,645","1,598",N,N,N,N,N,금천구,37.46981,126.9023363
147,대득에너지(금천셀프주유소),서울 금천구 시흥대로 81 (시흥동),GS칼텍스,Y,"1,645","1,535",Y,N,N,Y,Y,금천구,37.4415477,126.9031064
148,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,SK에너지,N,"1,645","1,614",Y,N,Y,N,N,금천구,37.4730006,126.8978907
149,월계주유소,서울 노원구 월계로 252 (월계동),GS칼텍스,Y,"1,535","1,499",Y,N,Y,N,N,노원구,37.6244446,127.0506987
150,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),GS칼텍스,Y,"1,545","1,495",Y,N,Y,N,N,노원구,37.6248346,127.0737922
151,한신주유소,서울 노원구 동일로 1089 (공릉동),SK에너지,Y,"1,565","1,545",Y,N,N,N,N,노원구,37.6304778,127.0901988
152,성북역주유소,서울 노원구 광운로 95 (월계동),GS칼텍스,N,"1,568","1,538",Y,N,N,N,N,노원구,37.6260144,127.0599523
153,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),S-OIL,Y,"1,585","1,555",Y,N,N,N,Y,노원구,37.6259181,127.0855335
154,남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),S-OIL,Y,"1,585","1,540",Y,N,N,N,N,노원구,37.6512956,127.0773021
155,화랑대주유소,서울 노원구 화랑로 483,현대오일뱅크,Y,"1,585","1,495",Y,N,N,N,N,노원구,37.6196049,127.0807059
156,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,Y,"1,585","1,555",Y,N,N,N,N,노원구,37.63862520000001,127.1090677
157,(주)소모에너지 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,Y,"1,595","1,555",N,N,N,N,N,노원구,37.6866099,127.0558354
158,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),SK에너지,N,"1,635","1,585",Y,N,N,N,N,노원구,37.6559345,127.0664793
